Name,Climate,Acid,Eutro,Water,Cow,Chicken,Fish,Pig
Bread,1.6,13.4,7.2,33386,0,0,0,0
Corn,1.7,11.7,4,10863,0,0,0,0
Oatmeal,2.5,10.7,11.2,18786,0,0,0,0
Rice,4.5,27.2,35.1,49576,0,0,0,0
Potatoes,0.5,3.9,3.5,2754,0,0,0,0
Cassava,1.3,3.4,0.7,0,0,0,0,0
Cane Sugar,3.2,18,16.9,16439,0,0,0,0
Beet Sugar,1.8,12.6,5.4,9493,0,0,0,0
Peas,1,8.5,7.5,27948,0,0,0,0
Nuts,0.4,45.2,19.2,229890,0,0,0,0
Groundnuts,3.2,22.6,14.1,61798,0,0,0,0
Soymilk,1,2.6,1.1,956,0,0,0,0
Tofu,3.2,6.7,6.2,5113,0,0,0,0
Soybean Oil,6.3,15.7,11.7,14888,0,0,0,0
Palm Oil,7.3,17.5,10.7,36,0,0,0,0
Sunflower Oil,3.6,28,50.7,36369,0,0,0,0
Canola Oil,3.8,28.5,19.2,10594,0,0,0,0
Olive Oil,5.4,37.6,37.3,177480,0,0,0,0
Tomatoes,2.1,17.2,7.5,5336,0,0,0,0
Onions & Leeks,0.5,3.6,3.2,932,0,0,0,0
Root Veg,0.4,2.9,1.6,929,0,0,0,0
Brassica Veg,0.5,8.2,5,8455,0,0,0,0
Other Veg,0.5,6.4,2.3,4911,0,0,0,0
Bananas,0.9,6.4,3.3,662,0,0,0,0
Apples,0.4,3.5,1.5,12949,0,0,0,0
Berries & Grapes,1.5,12.3,6.1,21162,0,0,0,0
Citrus Fruit,0.4,4,2.2,4663,0,0,0,0
Other Fruit,1.1,5.8,2.4,9533,0,0,0,0
Wine,1.8,12.8,4.6,1149,0,0,0,0
Beer,1.2,6.6,2.3,696,0,0,0,0
Coffee,28.5,83.1,110.5,337,0,0,0,0
Chocolate,46.7,46.3,87.1,2879,0,0,0,0
Beef,99.5,318.8,301.4,34733,1.94,0,0,0
Pork,12.3,142.7,76.4,66867,0,0,0,1
Poultry,9.9,102.4,48.7,14178,0,28,0,0
Milk,3.2,20,10.7,19786,0.132,0,0,0
Cheese,23.9,165.5,98.4,180851,1.32,0,0,0
Eggs,4.7,53.7,21.8,17983,0,28.2,0,0
Fish,13.6,65.9,235.1,41572,0,0,1,0
Crustaceans,26.9,133.1,227.2,127259,0,0,1,0
